Customer_ID,Age,Gender,Customer_Segment,NHS_Eligible
C000001,16,Female,Loyal,No
C000002,16,Female,New,No
C000003,26,Male,New,No
C000004,19,Female,New,No
C000005,69,Female,Loyal,Yes
C000006,55,Male,Returning,No
C000007,79,Female,Loyal,Yes
C000008,68,Male,New,No
C000009,78,Female,Returning,No
C000010,31,Male,Returning,No
C000011,34,Female,Returning,Yes
C000012,71,Female,Returning,Yes
C000013,31,Female,New,No
C000014,19,Other,Returning,No
C000015,59,Female,Loyal,No
C000016,68,Male,New,No
C000017,78,Male,Returning,No
C000018,76,Female,Loyal,No
C000019,23,Female,Returning,No
C000020,66,Female,Returning,No
C000021,70,Male,New,No
C000022,61,Male,Loyal,No
C000023,69,Male,Loyal,Yes
C000024,70,Female,Loyal,No
C000025,45,Male,New,No
C000026,18,Female,Loyal,Yes
C000027,45,Female,New,Yes
C000028,29,Female,Returning,No
C000029,23,Female,New,No
C000030,24,Male,New,No
C000031,61,Male,Returning,No
C000032,48,Female,Returning,No
C000033,51,Female,Loyal,No
C000034,64,Male,New,Yes
C000035,51,Male,Loyal,No
C000036,56,Female,Returning,Yes
C000037,21,Female,New,No
C000038,71,Male,New,No
C000039,45,Male,Loyal,No
C000040,26,Male,Loyal,Yes
C000041,68,Female,New,Yes
C000042,63,Male,Returning,No
C000043,19,Female,Returning,No
C000044,28,Male,Returning,No
C000045,17,Female,Returning,No
C000046,33,Female,Loyal,Yes
C000047,22,Female,New,No
C000048,62,Female,New,Yes
C000049,49,Female,New,No
C000050,79,Male,Loyal,No
C000051,64,Male,Returning,No
C000052,55,Male,New,No
C000053,49,Female,Loyal,Yes
C000054,19,Female,Returning,Yes
C000055,20,Female,New,No
C000056,56,Female,New,No
C000057,16,Female,Loyal,No
C000058,18,Male,Returning,No
C000059,30,Male,New,No
C000060,73,Female,New,No
C000061,45,Male,New,No
C000062,62,Male,Returning,Yes
C000063,42,Female,New,No
C000064,27,Male,New,Yes
C000065,40,Female,New,Yes
C000066,21,Female,Loyal,No
C000067,66,Other,Returning,No
C000068,27,Male,New,No
C000069,40,Female,Returning,No
C000070,79,Female,Returning,No
C000071,54,Male,Loyal,No
C000072,45,Female,Loyal,Yes
C000073,51,Male,Returning,Yes
