Product_ID,Product_Name,Category,Subcategory,Base_Price
P0001,Core Frames 001,Spectacle Frame,Core Frames,60.27
P0002,Premium Frames 002,Spectacle Frame,Premium Frames,257.22
P0003,Single Vision 003,Prescription Lens,Single Vision,50.62
P0004,Varifocal 004,Prescription Lens,Varifocal,268.2
P0005,Bifocal 005,Prescription Lens,Bifocal,136.08
P0006,Prescription Sunglasses 006,Sunglasses,Prescription Sunglasses,127.58
P0007,Non-Prescription Sunglasses 007,Sunglasses,Non-Prescription Sunglasses,54.13
P0008,Daily Disposable 008,Contact Lenses,Daily Disposable,44.38
P0009,Monthly Lenses 009,Contact Lenses,Monthly Lenses,29.38
P0010,Cleaning Solution 010,Lens Care,Cleaning Solution,23.5
P0011,Core Frames 011,Spectacle Frame,Core Frames,179.45
P0012,Premium Frames 012,Spectacle Frame,Premium Frames,234.47
P0013,Single Vision 013,Prescription Lens,Single Vision,124.77
P0014,Varifocal 014,Prescription Lens,Varifocal,126.84
P0015,Bifocal 015,Prescription Lens,Bifocal,242.96
P0016,Prescription Sunglasses 016,Sunglasses,Prescription Sunglasses,215.4
P0017,Non-Prescription Sunglasses 017,Sunglasses,Non-Prescription Sunglasses,179.81
P0018,Daily Disposable 018,Contact Lenses,Daily Disposable,19.14
P0019,Monthly Lenses 019,Contact Lenses,Monthly Lenses,46.77
P0020,Cleaning Solution 020,Lens Care,Cleaning Solution,14.81
P0021,Core Frames 021,Spectacle Frame,Core Frames,265.08
P0022,Premium Frames 022,Spectacle Frame,Premium Frames,308.67
P0023,Single Vision 023,Prescription Lens,Single Vision,108.92
P0024,Varifocal 024,Prescription Lens,Varifocal,200.09
P0025,Bifocal 025,Prescription Lens,Bifocal,136.37
P0026,Prescription Sunglasses 026,Sunglasses,Prescription Sunglasses,225.37
P0027,Non-Prescription Sunglasses 027,Sunglasses,Non-Prescription Sunglasses,116.2
P0028,Daily Disposable 028,Contact Lenses,Daily Disposable,16.08
P0029,Monthly Lenses 029,Contact Lenses,Monthly Lenses,65.45
P0030,Cleaning Solution 030,Lens Care,Cleaning Solution,22.92
P0031,Core Frames 031,Spectacle Frame,Core Frames,73.66
P0032,Premium Frames 032,Spectacle Frame,Premium Frames,302.83
P0033,Single Vision 033,Prescription Lens,Single Vision,59.66
P0034,Varifocal 034,Prescription Lens,Varifocal,321.67
P0035,Bifocal 035,Prescription Lens,Bifocal,127.81
