Store_ID,Store_Name,City,Region,Store_Type,Store_Size
S1001,Boots Opticians - London 1001,London,London,High Street,Small
S1002,Boots Opticians - London 1002,London,London,Retail Park,Medium
S1003,Boots Opticians - London 1003,London,London,Shopping Centre,Small
S1004,Boots Opticians - London 1004,London,London,High Street,Small
S1005,Boots Opticians - London 1005,London,London,High Street,Large
S1006,Boots Opticians - London 1006,London,London,Retail Park,Small
S1007,Boots Opticians - London 1007,London,London,Retail Park,Small
S1008,Boots Opticians - London 1008,London,London,Retail Park,Small
S1009,Boots Opticians - Brighton 1009,Brighton,South East,Retail Park,Large
S1010,Boots Opticians - Brighton 1010,Brighton,South East,City Centre,Medium
S1011,Boots Opticians - Brighton 1011,Brighton,South East,Retail Park,Medium
S1012,Boots Opticians - Oxford 1012,Oxford,South East,High Street,Small
S1013,Boots Opticians - Oxford 1013,Oxford,South East,City Centre,Medium
S1014,Boots Opticians - Oxford 1014,Oxford,South East,Shopping Centre,Small
S1015,Boots Opticians - Reading 1015,Reading,South East,Retail Park,Medium
S1016,Boots Opticians - Reading 1016,Reading,South East,Shopping Centre,Large
S1017,Boots Opticians - Reading 1017,Reading,South East,High Street,Medium
S1018,Boots Opticians - Guildford 1018,Guildford,South East,City Centre,Large
S1019,Boots Opticians - Guildford 1019,Guildford,South East,City Centre,Small
S1020,Boots Opticians - Guildford 1020,Guildford,South East,Shopping Centre,Medium
S1021,Boots Opticians - Canterbury 1021,Canterbury,South East,High Street,Small
S1022,Boots Opticians - Canterbury 1022,Canterbury,South East,Retail Park,Medium
S1023,Boots Opticians - Canterbury 1023,Canterbury,South East,High Street,Small
S1024,Boots Opticians - Bristol 1024,Bristol,South West,Shopping Centre,Small
S1025,Boots Opticians - Bristol 1025,Bristol,South West,Retail Park,Small
S1026,Boots Opticians - Bristol 1026,Bristol,South West,City Centre,Large
S1027,Boots Opticians - Plymouth 1027,Plymouth,South West,Shopping Centre,Medium
S1028,Boots Opticians - Plymouth 1028,Plymouth,South West,Shopping Centre,Large
S1029,Boots Opticians - Plymouth 1029,Plymouth,South West,Retail Park,Large
S1030,Boots Opticians - Exeter 1030,Exeter,South West,Retail Park,Small
S1031,Boots Opticians - Exeter 1031,Exeter,South West,City Centre,Small
S1032,Boots Opticians - Exeter 1032,Exeter,South West,Shopping Centre,Small
S1033,Boots Opticians - Bath 1033,Bath,South West,Shopping Centre,Large
S1034,Boots Opticians - Bath 1034,Bath,South West,City Centre,Medium
S1035,Boots Opticians - Bath 1035,Bath,South West,High Street,Medium
S1036,Boots Opticians - Bournemouth 1036,Bournemouth,South West,City Centre,Large
S1037,Boots Opticians - Bournemouth 1037,Bournemouth,South West,Shopping Centre,Large
S1038,Boots Opticians - Bournemouth 1038,Bournemouth,South West,Retail Park,Medium
S1039,Boots Opticians - Birmingham 1039,Birmingham,Midlands,Shopping Centre,Large
S1040,Boots Opticians - Birmingham 1040,Birmingham,Midlands,Retail Park,Small
S1041,Boots Opticians - Birmingham 1041,Birmingham,Midlands,City Centre,Medium
S1042,Boots Opticians - Nottingham 1042,Nottingham,Midlands,High Street,Small
S1043,Boots Opticians - Nottingham 1043,Nottingham,Midlands,Retail Park,Small
S1044,Boots Opticians - Nottingham 1044,Nottingham,Midlands,High Street,Large
S1045,Boots Opticians - Leicester 1045,Leicester,Midlands,City Centre,Small
S1046,Boots Opticians - Leicester 1046,Leicester,Midlands,Shopping Centre,Small
S1047,Boots Opticians - Leicester 1047,Leicester,Midlands,City Centre,Medium
S1048,Boots Opticians - Coventry 1048,Coventry,Midlands,City Centre,Large
S1049,Boots Opticians - Coventry 1049,Coventry,Midlands,High Street,Small
S1050,Boots Opticians - Coventry 1050,Coventry,Midlands,Retail Park,Large
S1051,Boots Opticians - Derby 1051,Derby,Midlands,City Centre,Large
S1052,Boots Opticians - Derby 1052,Derby,Midlands,City Centre,Large
S1053,Boots Opticians - Derby 1053,Derby,Midlands,City Centre,Small
S1054,Boots Opticians - Manchester 1054,Manchester,North West,City Centre,Medium
S1055,Boots Opticians - Manchester 1055,Manchester,North West,Shopping Centre,Small
S1056,Boots Opticians - Manchester 1056,Manchester,North West,Shopping Centre,Small
