Appointment_ID,Date,Store_ID,Customer_ID,Service_ID,Appointment_Status,Converted_To_Sale,Booking_Channel,Wait_Days
A0000001,2026-05-03,S1120,C013221,SV05,Completed,No,Online,4
A0000002,2026-01-30,S1015,C003313,SV03,Completed,No,Online,7
A0000003,2026-03-08,S1063,C010197,SV08,Cancelled,No,Online,17
A0000004,2025-06-29,S1063,C017802,SV04,Completed,Yes,In Store,14
A0000005,2025-02-02,S1006,C011730,SV01,Completed,No,Online,10
A0000006,2026-07-10,S1101,C014019,SV07,Cancelled,No,Online,1
A0000007,2025-07-29,S1062,C007520,SV01,Completed,No,Online,11
A0000008,2025-09-04,S1090,C004632,SV02,Completed,Yes,In Store,7
A0000009,2026-09-30,S1099,C008614,SV02,Completed,No,Phone,7
A0000010,2026-10-31,S1027,C016358,SV02,Completed,Yes,Online,9
A0000011,2025-09-19,S1043,C002643,SV08,Completed,Yes,Phone,17
A0000012,2025-10-18,S1050,C008226,SV04,Completed,Yes,Online,12
A0000013,2026-12-13,S1043,C001480,SV01,Completed,No,Phone,17
A0000014,2025-09-13,S1098,C019089,SV01,Completed,Yes,In Store,18
A0000015,2026-02-17,S1026,C014200,SV07,Rescheduled,No,Online,2
A0000016,2025-04-09,S1043,C015230,SV06,Completed,No,Online,20
A0000017,2026-10-01,S1017,C014003,SV02,Completed,No,In Store,5
A0000018,2025-05-08,S1039,C005735,SV02,Completed,Yes,Phone,12
A0000019,2025-08-18,S1006,C008784,SV02,Completed,Yes,Online,17
A0000020,2026-05-08,S1095,C015503,SV03,Cancelled,No,Online,21
A0000021,2026-09-21,S1072,C019772,SV01,Completed,Yes,Phone,5
A0000022,2026-02-22,S1053,C004943,SV01,Completed,No,Online,10
A0000023,2026-09-16,S1113,C000372,SV01,Completed,No,Online,6
A0000024,2026-02-06,S1002,C016804,SV01,Completed,Yes,Phone,15
A0000025,2025-12-14,S1059,C018707,SV02,No-show,No,Online,5
A0000026,2025-04-08,S1105,C006555,SV01,Rescheduled,No,Phone,12
A0000027,2025-09-24,S1118,C001009,SV02,Cancelled,No,In Store,18
A0000028,2025-03-19,S1111,C012572,SV02,Completed,Yes,Online,20
