Sale_ID,Date,Store_ID,Customer_ID,Product_ID,Quantity,Unit_Price,Discount_Pct,Payment_Method,Return_Flag,Gross_Revenue,Discount_Amount,Net_Revenue,Cost,Gross_Margin,Region,Category,Month_Year
T00000001,2026-03-05,S1114,C012924,P0201,1,118.81,0.0,Card,No,118.81,0.0,118.81,63.09,55.72,Wales,Spectacle Frame,2026-03
T00000002,2025-09-24,S1100,C005089,P0247,1,96.72,0.0,Card,No,96.72,0.0,96.72,47.21,49.51,Scotland,Sunglasses,2025-09
T00000003,2026-05-10,S1022,C014047,P0144,1,169.66,0.05,Card,No,169.66,8.48,161.18,106.29,54.89,South East,Prescription Lens,2026-05
T00000004,2026-10-27,S1001,C019041,P0024,1,200.09,0.05,Card,No,200.09,10.0,190.09,121.87,68.22,London,Prescription Lens,2026-10
T00000005,2025-03-15,S1052,C017644,P0163,1,122.12,0.1,Gift Card,No,122.12,12.21,109.91,55.09,54.82,Midlands,Prescription Lens,2025-03
T00000006,2025-04-15,S1025,C001445,P0159,1,22.39,0.05,Cash,No,22.39,1.12,21.27,10.68,10.59,South West,Contact Lenses,2025-04
T00000007,2025-10-29,S1083,C019387,P0079,1,62.76,0.0,Klarna,No,62.76,0.0,62.76,39.22,23.54,Yorkshire,Contact Lenses,2025-10
T00000008,2026-10-23,S1063,C017633,P0146,1,129.94,0.05,Card,No,129.94,6.5,123.44,61.5,61.94,North West,Sunglasses,2026-10
T00000009,2025-01-29,S1053,C001887,P0023,1,108.92,0.0,Klarna,No,108.92,0.0,108.92,55.51,53.41,Midlands,Prescription Lens,2025-01
T00000010,2026-04-19,S1068,C010145,P0085,1,102.41,0.15,Card,No,102.41,15.36,87.05,42.39,44.66,North West,Prescription Lens,2026-04
T00000011,2026-08-08,S1120,C009782,P0002,1,257.22,0.15,Cash,No,257.22,38.58,218.64,116.88,101.76,Wales,Spectacle Frame,2026-08
T00000012,2026-06-19,S1105,C001405,P0168,1,20.08,0.0,Gift Card,No,20.08,0.0,20.08,12.64,7.44,Scotland,Contact Lenses,2026-06
T00000013,2026-04-07,S1027,C002458,P0148,1,16.06,0.0,Card,No,16.06,0.0,16.06,9.16,6.9,South West,Contact Lenses,2026-04
T00000014,2025-09-12,S1087,C002218,P0293,1,48.91,0.05,Card,No,48.91,2.45,46.46,26.47,19.99,North East,Prescription Lens,2025-09
T00000015,2026-11-21,S1098,C000111,P0220,1,24.18,0.05,Card,No,24.18,1.21,22.97,14.55,8.42,Scotland,Lens Care,2026-11
T00000016,2026-06-21,S1041,C007862,P0134,1,343.8,0.0,Card,No,343.8,0.0,343.8,189.0,154.8,Midlands,Prescription Lens,2026-06
T00000017,2025-10-18,S1074,C019310,P0095,1,102.28,0.1,Card,No,102.28,10.23,92.05,55.76,36.29,Yorkshire,Prescription Lens,2025-10
T00000018,2026-09-21,S1110,C018801,P0198,1,62.44,0.0,Card,No,62.44,0.0,62.44,40.65,21.79,Scotland,Contact Lenses,2026-09
T00000019,2025-07-24,S1121,C001766,P0155,1,134.06,0.0,Card,Yes,134.06,0.0,134.06,72.25,61.81,Wales,Prescription Lens,2025-07
T00000020,2026-04-01,S1009,C000573,P0179,1,62.84,0.15,Card,No,62.84,9.43,53.41,28.28,25.13,South East,Contact Lenses,2026-04
T00000021,2025-07-30,S1018,C002610,P0152,1,315.08,0.05,Card,No,315.08,15.75,299.33,139.37,159.96,South East,Spectacle Frame,2025-07
T00000022,2026-02-14,S1002,C018422,P0289,1,56.61,0.0,Card,No,56.61,0.0,56.61,26.31,30.3,London,Contact Lenses,2026-02
T00000023,2025-04-20,S1045,C013587,P0160,1,8.63,0.2,Klarna,No,8.63,1.73,6.9,4.62,2.28,Midlands,Lens Care,2025-04
T00000024,2025-04-20,S1080,C004017,P0051,1,101.43,0.15,Cash,No,101.43,15.21,86.22,57.14,29.08,Yorkshire,Spectacle Frame,2025-04
T00000025,2025-09-19,S1036,C005045,P0238,1,44.98,0.0,Card,No,44.98,0.0,44.98,23.4,21.58,South West,Contact Lenses,2025-09
T00000026,2026-04-28,S1027,C013091,P0187,1,84.3,0.0,Klarna,No,84.3,0.0,84.3,52.5,31.8,South West,Sunglasses,2026-04
T00000027,2025-03-17,S1001,C002259,P0127,1,104.22,0.05,Card,No,104.22,5.21,99.01,54.91,44.1,London,Sunglasses,2025-03
T00000028,2025-12-26,S1049,C015116,P0137,1,47.31,0.0,Card,No,47.31,0.0,47.31,31.32,15.99,Midlands,Sunglasses,2025-12
T00000029,2026-12-31,S1018,C005488,P0126,2,197.27,0.1,Klarna,No,394.54,39.45,355.09,213.75,141.34,South East,Sunglasses,2026-12
T00000030,2026-01-23,S1020,C002149,P0130,1,22.35,0.0,Card,No,22.35,0.0,22.35,10.2,12.15,South East,Lens Care,2026-01
T00000031,2026-12-10,S1011,C000764,P0128,1,36.29,0.2,Cash,No,36.29,7.26,29.03,16.77,12.26,South East,Contact Lenses,2026-12
T00000032,2026-08-05,S1121,C007802,P0238,1,44.98,0.0,Cash,No,44.98,0.0,44.98,21.71,23.27,Wales,Contact Lenses,2026-08
T00000033,2026-10-10,S1085,C016684,P0095,1,102.28,0.1,Card,No,102.28,10.23,92.05,55.26,36.79,North East,Prescription Lens,2026-10
T00000034,2025-06-29,S1108,C019665,P0009,1,29.38,0.0,Card,No,29.38,0.0,29.38,14.36,15.02,Scotland,Contact Lenses,2025-06
T00000035,2026-10-17,S1091,C007706,P0020,1,14.81,0.05,Cash,No,14.81,0.74,14.07,9.24,4.83,North East,Lens Care,2026-10
T00000036,2025-08-13,S1104,C005532,P0248,1,59.92,0.05,Card,No,59.92,3.0,56.92,36.74,20.18,Scotland,Contact Lenses,2025-08
T00000037,2025-04-26,S1041,C000589,P0154,2,238.09,0.0,Gift Card,No,476.18,0.0,476.18,266.13,210.05,Midlands,Prescription Lens,2025-04
T00000038,2026-11-09,S1012,C003877,P0104,1,397.44,0.1,Klarna,No,397.44,39.74,357.7,169.31,188.39,South East,Prescription Lens,2026-11
T00000039,2025-05-07,S1080,C012109,P0046,2,300.15,0.0,Card,No,600.3,0.0,600.3,326.66,273.64,Yorkshire,Sunglasses,2025-05
T00000040,2026-10-05,S1111,C014483,P0210,1,9.05,0.05,Gift Card,No,9.05,0.45,8.6,3.76,4.84,Wales,Lens Care,2026-10
T00000041,2026-05-06,S1014,C002622,P0111,1,271.9,0.0,Gift Card,No,271.9,0.0,271.9,117.18,154.72,South East,Spectacle Frame,2026-05
T00000042,2026-09-16,S1058,C008466,P0040,1,23.32,0.1,Klarna,No,23.32,2.33,20.99,10.32,10.67,North West,Lens Care,2026-09
T00000043,2025-12-28,S1031,C000272,P0002,1,257.22,0.0,Card,No,257.22,0.0,257.22,134.39,122.83,South West,Spectacle Frame,2025-12
T00000044,2026-01-11,S1017,C004869,P0267,2,56.92,0.05,Card,No,113.84,5.69,108.15,59.17,48.98,South East,Sunglasses,2026-01
T00000045,2025-11-16,S1084,C012715,P0180,1,7.69,0.0,Card,No,7.69,0.0,7.69,4.29,3.4,North East,Lens Care,2025-11
T00000046,2025-04-11,S1115,C018077,P0244,1,245.58,0.05,Cash,No,245.58,12.28,233.3,115.89,117.41,Wales,Prescription Lens,2025-04
T00000047,2025-02-13,S1025,C002153,P0065,1,143.52,0.05,Gift Card,No,143.52,7.18,136.34,67.11,69.23,South West,Prescription Lens,2025-02
T00000048,2025-01-13,S1033,C015926,P0012,1,234.47,0.0,Card,Yes,234.47,0.0,234.47,150.37,84.1,South West,Spectacle Frame,2025-01
T00000049,2025-07-03,S1061,C008250,P0249,1,61.94,0.15,Card,No,61.94,9.29,52.65,31.69,20.96,North West,Contact Lenses,2025-07
T00000050,2025-03-10,S1112,C004191,P0091,1,87.95,0.0,Card,No,87.95,0.0,87.95,41.63,46.32,Wales,Spectacle Frame,2025-03
T00000051,2026-09-15,S1101,C008007,P0129,1,55.86,0.0,Card,No,55.86,0.0,55.86,24.06,31.8,Scotland,Contact Lenses,2026-09
T00000052,2026-05-31,S1060,C013236,P0103,2,83.67,0.05,Klarna,No,167.34,8.37,158.97,92.16,66.81,North West,Prescription Lens,2026-05
T00000053,2026-08-29,S1041,C018994,P0125,1,182.53,0.0,Klarna,No,182.53,0.0,182.53,116.13,66.4,Midlands,Prescription Lens,2026-08
T00000054,2026-01-16,S1108,C014502,P0119,1,65.62,0.05,Cash,No,65.62,3.28,62.34,31.84,30.5,Scotland,Contact Lenses,2026-01
T00000055,2025-01-29,S1018,C015649,P0150,1,8.49,0.05,Card,No,8.49,0.42,8.07,4.11,3.96,South East,Lens Care,2025-01
T00000056,2026-07-24,S1080,C019740,P0221,1,232.21,0.1,Klarna,No,232.21,23.22,208.99,130.92,78.07,Yorkshire,Spectacle Frame,2026-07
T00000057,2026-09-14,S1110,C007175,P0161,1,96.82,0.0,Klarna,No,96.82,0.0,96.82,60.92,35.9,Scotland,Spectacle Frame,2026-09
T00000058,2025-05-29,S1015,C007461,P0157,1,196.88,0.15,Card,No,196.88,29.53,167.35,103.55,63.8,South East,Sunglasses,2025-05
T00000059,2025-06-28,S1071,C019420,P0227,1,144.16,0.05,Klarna,No,144.16,7.21,136.95,71.37,65.58,Yorkshire,Sunglasses,2025-06
T00000060,2025-08-17,S1074,C014459,P0290,1,18.0,0.05,Card,No,18.0,0.9,17.1,9.87,7.23,Yorkshire,Lens Care,2025-08
T00000061,2026-04-17,S1105,C013854,P0109,1,27.72,0.0,Card,No,27.72,0.0,27.72,14.87,12.85,Scotland,Contact Lenses,2026-04
T00000062,2026-07-06,S1054,C017033,P0168,2,20.08,0.05,Card,No,40.16,2.01,38.15,20.83,17.32,North West,Contact Lenses,2026-07
T00000063,2025-06-22,S1054,C010915,P0084,1,188.9,0.05,Card,No,188.9,9.44,179.46,84.82,94.64,North West,Prescription Lens,2025-06
T00000064,2026-12-03,S1058,C011338,P0141,3,114.48,0.05,Klarna,No,343.44,17.17,326.27,164.34,161.93,North West,Spectacle Frame,2026-12
T00000065,2026-05-08,S1023,C000257,P0074,1,173.78,0.05,Cash,No,173.78,8.69,165.09,101.02,64.07,South East,Prescription Lens,2026-05
T00000066,2025-01-09,S1085,C009460,P0122,2,295.15,0.0,Klarna,No,590.3,0.0,590.3,337.62,252.68,North East,Spectacle Frame,2025-01
T00000067,2025-05-26,S1064,C016613,P0102,1,435.36,0.15,Card,No,435.36,65.3,370.06,247.56,122.5,North West,Spectacle Frame,2025-05
T00000068,2025-05-18,S1025,C012658,P0043,1,119.91,0.0,Klarna,No,119.91,0.0,119.91,65.22,54.69,South West,Prescription Lens,2025-05
T00000069,2025-12-06,S1067,C003499,P0214,1,304.31,0.1,Card,No,304.31,30.43,273.88,117.88,156.0,North West,Prescription Lens,2025-12
T00000070,2026-01-25,S1122,C002366,P0199,3,70.4,0.05,Cash,No,211.2,10.56,200.64,109.67,90.97,Wales,Contact Lenses,2026-01
T00000071,2025-01-15,S1090,C001507,P0123,2,126.81,0.05,Card,No,253.62,12.68,240.94,110.44,130.5,North East,Prescription Lens,2025-01
T00000072,2025-09-18,S1025,C007482,P0205,1,216.75,0.1,Cash,No,216.75,21.68,195.07,97.71,97.36,South West,Prescription Lens,2025-09
T00000073,2026-04-02,S1034,C001235,P0173,1,158.88,0.05,Card,No,158.88,7.94,150.94,88.32,62.62,South West,Prescription Lens,2026-04
T00000074,2025-10-15,S1059,C004087,P0160,1,8.63,0.0,Card,No,8.63,0.0,8.63,4.79,3.84,North West,Lens Care,2025-10
T00000075,2026-04-16,S1040,C007365,P0248,1,59.92,0.0,Cash,No,59.92,0.0,59.92,32.98,26.94,Midlands,Contact Lenses,2026-04
T00000076,2025-12-10,S1107,C014794,P0096,2,122.18,0.0,Card,No,244.36,0.0,244.36,116.39,127.97,Scotland,Sunglasses,2025-12
T00000077,2026-07-16,S1009,C008704,P0238,2,44.98,0.0,Card,No,89.96,0.0,89.96,51.22,38.74,South East,Contact Lenses,2026-07
T00000078,2026-08-27,S1054,C009448,P0076,1,317.39,0.1,Klarna,No,317.39,31.74,285.65,154.6,131.05,North West,Sunglasses,2026-08
